Scenario,Category,Subcategory,Response,More Information,Source
What happened to my percent off savings?! ,Reward Info,Negative,"We understand that the discount is important to you but we think you’ll love the new program once you learn about some of the great benefits! We want to better help all our customers benefit from our loyalty program with more opportunities for savings, easier processes for everyday transactions, and better support for their overall wellness. PLUS, we have created more ways to earn Points with personalized promotions based on what you buy. Members also receive members-only instant BonusCash promotions and weekly digital coupons. You are now in control of how much you save with so many options to earn points and take advantage of exclusive offers. You learn more here: https://ritea.id/36HIoox","Make sure to edit this as needed to tailor it to the customer's particular complaint/concern, and the right tone for their frustration level",Rewards Program
I liked the program the way it was! What's so great about this new program?,Reward Info,Negative,"There are a few really amazing benefits: First, we’ve added more ways for you to save. You’re going to earn Points all through the month on the things you do at Rite Aid anyway: shopping the store and picking up prescriptions. We’re also personalizing the ways you can save. That means we’re going to offer you special promotions and opportunities for instant BonusCash on the types of items YOU like to buy. We hope you'll visit our Rewards site to learn more: https://www.riteaid.com/rewards",*Customers in the states of NY and NJ are not able to earn points when picking up prescriptions.,Rewards Program
I liked the program the way it was! What's so great about this new program? (con),Reward Info,Negative,"We want to better help all our customers benefit from our loyalty program with more opportunities for savings, easier processes for everyday transactions, and better support for their overall wellness. We’ve created more ways to earn Points with personalized promotions based on what you buy. You are now in control of how much you save with so many options to earn Points and take advantage of exclusive offers.",,Rewards Program
Lower in-store prices?,Reward Info,General Program,"To help our customers during this time of record inflation, we have lowered prices on hundreds of your favorite products throughout our stores to help you save money – just look for the blue and yellow tags that say “Lower Price.” We’ll continue to lower more prices over the coming months!",DO NOT USE THIS RESPONSE. We are not lowering prices.,Rewards Program
Other benefits?,Reward Info,General Program,"Other exclusive, members-only benefits: promotional pricing, digital coupons, instant BonusCash deals, and personalized offers.",,Rewards Program
I already had a Wellness account. Do I need to sign up again?,Reward Info,Digital Account Inquiry,"Current Wellness+ customers will be automatically enrolled in Rite Aid Rewards, so there's no need to sign up again. Any BonusCash in your account will be automatically available in your Rite Aid Rewards account (they will have the same expiration date they would have before, 30 days from the date they were issued). ","Points balances will be zeroed out with the termination of the wellness+ program on February 26, 2022",Rewards Program
Can RA Rewards be used at Bartell's?,Reward Info,General Program,"Currently, this is a Rite Aid-only program. Rite Aid Reward Points and BonusCash cannot be earned or used at Bartell’s.",,Rewards Program
How can I find out more about Rite Aid Rewards?,Reward Info,General Program,We encourage you to visit the Rewards page on our website to learn more about the exciting changes to the program: RiteAid.com/rewards ,,Rewards Program
Welcome Gift,Reward Info,General Program,"To show our appreciation for being a valued Rite Aid customer, we have a Welcome Gift we would like to share with you! All you have to do is log into or sign up for their digital account at RiteAid.com or in our app. You will have a bonus surprise waiting just for you! ","Any previous Wellness+ customer who has shopped as a member (e.g., used their phone number on a purchase) in the last year will receive a “Welcome Gift” (points) in their digital account. This includes prior Gold, Silver, Bronze, 65+, and associate members who used their wellness+ accounts in the past 12 months. The amount of points included in the Welcome gift are personalized based on how engaged the customer has been with their account. If a member does not have points, it means that they have not shopped with us in over a year. Additionally, brand new members do not receive a welcome gift.",Rewards Program
How can Rite Aid associates help customers participate in Rite Aid Rewards that do not have or are not willing to offer a phone number or email address? ,Reward Info,Digital Account,We will need you to provide a provide a 10 digit number that you will need to remember (like you would a phone number) and use that each time you make a purchase. ,,Rewards Program
